"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"593","FI","FI","FIN",246,"Finland",30459,5246004,150,154,26.272,64.504," HENRY ",7,58
"19013","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," HENRY ",26,58
"6467","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," HENRY ",134,58
"206132","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HENRY ",302,58
"594","FI","FI","FIN",246,"Finland",30459,5246004,150,154,26.272,64.504," HENRY II ",7,18
"19014","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," HENRY II ",26,18
"6468","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," HENRY II ",134,18
"206133","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HENRY II ",302,18
"19015","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," HENRY OF FINLAND ",26,72
"1549","NO","NO","NOR",578,"Norway",30625,4638836,150,154,8.74,61.152," HENRY OF FINLAND ",18,72
"595","FI","FI","FIN",246,"Finland",30459,5246004,150,154,26.272,64.504," HENRY OF FINLAND ",7,72
"8546","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," HERMES ",87,308
"5060","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," HEWALD THE BLACK AND HEWALD THE WHITE ",93,494
"1384",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," HILARION ",16,346
"496","EG","EG","EGY",818,"Egypt",99545,72849793,2,15,29.872,26.494," HILARION ",26,346
"206134","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HILARION ",302,346
"206135","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HILDEGARD OF BINGEN ",302,81
"1635","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," HOFBAUER CLEMENT MARY ",17,249
"5614","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," HOFBAUER CLEMENT MARY ",24,249
"1636","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," HOLY INNOCENTS ",17,NA
"5615","AU","AT","AUT",40,"Austria",8245,8291979,150,155,14.912,47.683," HOLY INNOCENTS ",24,NA
"8547","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," HOMOBONUS ",87,91
"6469","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," HOMOBONUS ",134,91
"18725","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," HOMOBONUS ",70,91
"7131","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," HOMOBONUS ",65,91
"731","GR","GR","GRC",300,"Greece",12890,11099737,150,39,21.766,39.666," HONORATUS OF ARLES ",4,361
"6470","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," HONORATUS OF ARLES ",134,361
"206136","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HONORIUS ",302,461
"206137","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HOSS MARIA CRESCENTIA ",302,237
"206138","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HOUGHTON JOHN ",302,161
"206139","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HOWARD PHILIP ",302,185
"1284","BE","BE","BEL",56,"Belgium",0,10398049,150,155,4.664,50.643," HUBERT ",8,518
"206140","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HUBERT ",302,518
"8548","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," HUGH OF CLUNY ",87,53
"18726","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," HUGH OF CLUNY ",70,53
"206141","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HUGH OF CLUNY ",302,53
"6471","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," HUGH OF CLUNY ",134,53
"808","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," HUGH OF CLUNY ",25,53
"206142","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," HUGH OF LINCOLN ",302,92
"6472","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," HUGH OF LINCOLN ",134,92
"8549","IT","IT","ITA",380,"Italy",29411,5864636,150,39,12.8,42.7," HUGH OF LINCOLN ",87,92
"18727","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," HUGH OF LINCOLN ",70,92
"1637","PL","PL","POL",616,"Poland",30629,38195558,150,151,19.401,52.125," HYACINTH OF CRACOW ",17,110
"1022","LH","LT","LTU",440,"Lithuania",6268,3425077,150,154,23.897,55.336," HYACINTH OF CRACOW ",5,110
"1743","RS","RU","RUS",643,"Russia",1638094,143953092,150,151,96.689,61.988," HYACINTH OF CRACOW ",13,110
"18728","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," IGNATIUS OF LOYOLA ",70,169
"1385",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," IGNATIUS OF LOYOLA ",16,169
"7132","GM","DE","DEU",276,"Germany",34895,82652369,150,155,9.851,51.11," IGNATIUS OF LOYOLA ",65,169
"825","IN","IN","IND",356,"India",297319,1134403141,142,34,78.5,21," IGNATIUS OF LOYOLA ",8,169
"291","CH","CN","CHN",156,"China",932743,1312978855,142,30,106.514,33.42," IGNATIUS OF LOYOLA ",12,169
"554","ET","ET","ETH",231,"Ethiopia",100000,78985857,2,14,39.616,8.626," IGNATIUS OF LOYOLA ",7,169
"26","CF","CG","COG",178,"Congo",34150,3609851,2,17,15.986,-0.055," IGNATIUS OF LOYOLA ",1,169
"231","CA","CA","CAN",124,"Canada",909351,32270507,19,21,-109.433,59.081," IGNATIUS OF LOYOLA ",4,169
"206143","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," IGNATIUS OF LOYOLA ",302,169
"18729","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," ILDEPHONSUS OF TOLEDO ",70,478
"18730","SP","ES","ESP",724,"Spain",49904,43397491,150,39,-3.649,40.227," ILLTUD ",70,388
"5061","EI","IE","IRL",372,"Ireland",6889,4143294,150,154,-8.152,53.177," INDRACT ",93,498
"237","RB","RS","SRB",688,"Serbia",0,9863026,150,39,20.806,44.032," IRENAEUS OF SIRMIUM ",2,327
