"","FIPS","ISO2","ISO3","UN","NAME","AREA","POP2005","REGION","SUBREGION","LON","LAT","GDESC","GVALUE","GYEAR"
"206178","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LIOBA LIOBGYTHA ",302,549
"206179","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LIUDGER ",302,562
"206180","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LLOYD JOHN ",302,221
"206181","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LOMAN LONAN ",302,369
"206182","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LONGINUS ",302,NA
"6490","FR","FR","FRA",250,"France",55010,60990544,150,155,2.55,46.565," LOUIS LEWIS IX ",134,113
"1388",NA,"PS","PSE",275,"Palestine",0,3762005,142,145,35.278,32.037," LOUIS LEWIS IX ",16,113
"206183","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LOUIS LEWIS IX ",302,113
"8015","HU","HU","HUN",348,"Hungary",9210,10086387,150,151,19.134,47.07," LOUIS OF TOULOUSE ",25,123
"206184","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LUCY ",302,327
"19017","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," LUCY ",26,327
"206185","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LUDWAN ",302,NA
"19018","SW","SE","SWE",752,"Sweden",41033,9038049,150,154,15.27,62.011," LUDWAN ",26,NA
"206186","UK","GB","GBR",826,"United Kingdom",24193,60244834,150,154,-1.6,53," LUKE ",302,6
